time_s,EMG1_mV,EMG2_mV,AX_g,AY_g,AZ_g,GX_dps,GY_dps,GZ_dps
161.705,66.181671,-0.010627,0.025,1.318,0.016,84.02,-11.71,-29.02
161.71,-0.001471,11.423248,0.025,1.318,0.016,84.02,-11.71,-29.02
161.715,0.002452,-0.017738,0.102,0.774,0.487,44.82,-48.48,-166.16
161.72,59.111271,-0.017738,0.102,0.774,0.487,44.82,-48.48,-166.16
161.725,37.617138,-0.018719,0.0,1.064,0.249,84.39,23.72,-64.63
161.73,-0.012302,20.78149,0.0,1.064,0.249,84.39,23.72,-64.63
161.735,-0.012425,-0.01827,0.173,0.901,0.225,86.22,4.45,-46.34
161.74,48.881561,-0.016798,0.173,0.901,0.225,86.22,4.45,-46.34
161.745,40.556965,-0.017943,-0.002,1.163,0.223,77.56,-9.63,-26.22
161.75,-0.009727,-161.43364,-0.002,1.163,0.223,77.56,-9.63,-26.22
161.755,-0.010259,-0.014223,0.052,1.04,0.098,83.35,-15.3,-38.48
161.76,64.618652,-0.011158,0.052,1.04,0.098,83.35,-15.3,-38.48
161.765,21.399143,0.736754,-0.078,0.818,0.306,77.2,-6.52,-22.68
161.77,0.005559,13.516454,-0.078,0.818,0.306,77.2,-6.52,-22.68
161.775,-0.001022,-0.015123,-0.1,0.829,0.421,31.77,109.76,46.04
161.78,20.155581,-0.017044,-0.1,0.829,0.421,31.77,109.76,46.04
161.785,64.713806,0.004169,0.119,1.351,-0.903,36.65,88.11,58.54
161.79,-0.009155,9.477997,0.119,1.351,-0.903,36.65,88.11,58.54
161.795,-0.008133,-0.025177,-0.056,0.977,-0.165,-180.3,-99.15,39.57
161.8,34.623856,-0.016022,-0.056,0.977,-0.165,-180.3,-99.15,39.57
161.805,21.453096,10.096387,-0.097,0.831,0.439,-267.87,-114.7,106.16
161.81,0.002616,-0.004741,-0.097,0.831,0.439,-267.87,-114.7,106.16
161.815,0.000817,-0.007234,-0.059,0.978,0.33,-199.88,-78.6,171.1
161.82,65.10495,-0.009155,-0.059,0.978,0.33,-199.88,-78.6,171.1
161.825,44.132996,42.959244,0.004,0.961,0.276,-214.88,-70.43,164.51
161.83,-0.013324,-0.001144,0.004,0.961,0.276,-214.88,-70.43,164.51
161.835,-0.013774,-0.006662,-0.033,0.921,0.582,-247.68,-66.71,130.85
161.84,39.071518,-0.006539,0.013,0.915,0.657,-176.83,-21.59,103.41
161.845,-0.00327,38.557762,0.013,0.915,0.657,-176.83,-21.59,103.41
161.85,0.00376,-0.018515,0.058,0.915,0.642,-86.83,17.62,60.43
161.855,27.588764,-0.02346,0.058,0.915,0.642,-86.83,17.62,60.43
161.86,55.678043,-0.017943,0.117,0.949,0.909,8.35,54.09,-22.13
161.865,0.002371,40.458462,0.117,0.949,0.909,8.35,54.09,-22.13
161.87,-0.001594,-0.010177,0.082,0.769,0.312,151.71,124.76,-80.18
161.875,52.637836,-0.003065,0.082,0.769,0.312,151.71,124.76,-80.18
161.88,66.073776,-0.005436,0.247,1.163,0.058,197.8,101.89,-92.8
161.885,-0.010177,8.079039,0.247,1.163,0.058,197.8,101.89,-92.8
161.89,-0.006662,-0.005313,0.213,0.851,0.291,130.12,2.62,-109.88
