sample,ch1_filtered_mV,ch1_rectified_mV,ch1_rms_mV,ch1_raw_mV
10423,-0.017590851435825366,0.017590851435825366,0.006580204065106852,17.703
10424,-0.014924329047383382,0.014924329047383382,0.0067472732496852116,17.704
10425,-0.0108459744128203,0.0108459744128203,0.00683309053186799,17.707
10426,-0.01169298571657308,0.01169298571657308,0.006932414541947281,17.705
10427,-0.013307086132412342,0.013307086132412342,0.007049660427796839,17.702
10428,-0.014685228181070495,0.014685228181070495,0.007176996083401769,17.699
10429,-0.01318354643671199,0.01318354643671199,0.0072787066372622415,17.699
10430,-0.012673306819007052,0.012673306819007052,0.0073742477739065304,17.698
10431,-0.0130282642145966,0.0130282642145966,0.007482088036753356,17.696
10432,-0.012376603961272957,0.012376603961272957,0.007564959447302201,17.695
10433,-0.009965134019438146,0.009965134019438146,0.0076031643159687095,17.696
10434,0.007234328516728169,0.007234328516728169,0.007592466394290804,17.714
10435,0.002938525335812462,0.002938525335812462,0.007571254331241053,17.71
10436,-0.013188164864649382,0.013188164864649382,0.007670595278455758,17.692
10437,-0.015854585390579105,0.015854585390579105,0.007821392904395262,17.687
10438,-0.015550515532690537,0.015550515532690537,0.00796923684356372,17.685
10439,-0.012665231291880848,0.012665231291880848,0.008057195536068994,17.686
10440,-0.012841975286159334,0.012841975286159334,0.008152958895403628,17.684
10441,-0.012193710934885261,0.012193710934885261,0.008230597982839413,17.683
10442,-0.010830822446950703,0.010830822446950703,0.008294890086424828,17.683
10443,-0.012376563393059668,0.012376563393059668,0.00838560198518609,17.68
10444,-0.01116636292876118,0.01116636292876118,0.008449101553655768,17.68
10445,-0.011936721934088273,0.011936721934088273,0.008493365016277787,17.678
10446,-0.00912136008229285,0.00912136008229285,0.008511160667735005,17.68
10447,-0.006663061967791636,0.006663061967791636,0.008519248261284274,17.682
10448,-0.007140177791313648,0.007140177791313648,0.008523391634995306,17.681
10449,-0.005746289551897101,0.005746289551897101,0.008541623564479944,17.682
10450,-0.009751003382597514,0.009751003382597514,0.008590991294144085,17.677
10451,-0.008756070734647544,0.008756070734647544,0.008596580326658871,17.677
10452,-0.008660041993920987,0.008660041993920987,0.008635501512507651,17.676
10453,-0.00670372827946601,0.00670372827946601,0.00861486090739711,17.677
10454,-0.006659081944627955,0.006659081944627955,0.008624964840731011,17.676
10455,-0.0047780708233332355,0.0047780708233332355,0.008637831038663757,17.677
10456,-0.00484409336695659,0.00484409336695659,0.008644828651220404,17.676
10457,-0.005766316939510966,0.005766316939510966,0.008663201013133344,17.674
10458,-0.005703237030536864,0.005703237030536864,0.008677383162854862,17.673
10459,-0.004803857850380708,0.004803857850380708,0.008690402264055265,17.673
10460,-0.0005443263862920066,0.0005443263862920066,0.008690513765939841,17.677
10461,-0.004841320021745323,0.004841320021745323,0.008701477664634399,17.672
10462,-0.006059248597457503,0.006059248597457503,0.008714920939207048,17.67
10463,-0.00280264214588705,0.00280264214588705,0.008709644894198034,17.673
10464,-0.0017938980723335163,0.0017938980723335163,0.008707050882063258,17.674
10465,-0.0009763938366552706,0.0009763938366552706,0.008686810062228639,17.675
10466,0.0032336804331691707,0.0032336804331691707,0.008676563408518032,17.68
10467,-0.00015067788980796212,0.00015067788980796212,0.008671621891738921,17.677
10468,-0.003987072255741848,0.003987072255741848,0.00867376307174608,17.673
10469,-0.007303530625311581,0.007303530625311581,0.00870343794082413,17.669
10470,-0.006603518264350834,0.006603518264350834,0.008725950714976569,17.669
10471,-0.008548240537061845,0.008548240537061845,0.008756036715064324,17.666
10472,-0.0048601966170978336,0.0048601966170978336,0.008763931231718702,17.669
10473,-0.005068516127900798,0.005068516127900798,0.008774156218827307,17.668
10474,-0.006064467253014515,0.006064467253014515,0.008774476489306942,17.666
10475,0.0001815700035776276,0.0001815700035776276,0.008763262743769665,17.672
10476,-0.006679083646692619,0.006679083646692619,0.008775463047458994,17.664
10477,-0.005638163673977074,0.005638163673977074,0.00876627953103405,17.664
10478,-0.006517775719716481,0.006517775719716481,0.008755016784761609,17.662
10479,-0.006459661770490107,0.006459661770490107,0.008743575198617888,17.661
10480,-0.0029469839919536002,0.0029469839919536002,0.00871334266222738,17.664
10481,-0.0034836798145580564,0.0034836798145580564,0.008699175357236535,17.663
10482,-0.0013957365553549195,0.0013957365553549195,0.008670677102037071,17.665
10483,-0.0005301250726254649,0.0005301250726254649,0.008640280627282752,17.666
10484,-0.0024904885570064136,0.0024904885570064136,0.008612376099356221,17.664
10485,-0.003374480777831491,0.003374480777831491,0.008578436636363386,17.663
10486,-0.0006329618337213034,0.0006329618337213034,0.0085652506158137,17.666
10487,-0.0008642554076189338,0.0008642554076189338,0.00854982013422754,17.666
10488,-0.0019121307748955593,0.0019121307748955593,0.008533775747910565,17.665
10489,-0.002768053116655361,0.002768053116655361,0.008523607647856877,17.664
10490,-0.00520421668518144,0.00520421668518144,0.008509611424939513,17.661
10491,-0.005483987387665236,0.005483987387665236,0.008503625165820308,17.66
10492,-0.004753908560160268,0.004753908560160268,0.008484694074127637,17.66
10493,-0.0004967840099376767,0.0004967840099376767,0.008484675654358126,17.664
10494,-0.001998308839246424,0.001998308839246424,0.008436068155031366,17.662
10495,-0.0015123686567963175,0.0015123686567963175,0.0083977198550853,17.662
10496,0.0006949175197818289,0.0006949175197818289,0.008359111500488918,17.664
10497,-3.136155266463209e-05,3.136155266463209e-05,0.008302065250311838,17.663
10498,-0.0015918931827739475,0.0015918931827739475,0.008259183494097625,17.661
10499,0.0005141856411693345,0.0005141856411693345,0.008206510954921534,17.663
10500,0.004059369587339339,0.004059369587339339,0.00820306480353054,17.667
10501,0.005325811060766667,0.005325811060766667,0.008204576004141446,17.669
10502,0.0037089439946403867,0.0037089439946403867,0.008172895475248809,17.668
10503,0.0031070426479036456,0.0031070426479036456,0.008138386953429638,17.668
10504,0.0025327308729368478,0.0025327308729368478,0.008133760776773078,17.668
10505,0.0028892983897484707,0.0028892983897484707,0.008134918011518303,17.669
10506,-0.00033086629493269326,0.00033086629493269326,0.008134752146252124,17.666
10507,0.0004009192959013091,0.0004009192959013091,0.008134564252991501,17.667
10508,-0.0006773682979156902,0.0006773682979156902,0.008131035045387066,17.666
