sample,ch2_hpf_mV
684,-0.192957
685,-0.256544
686,-0.217275
687,-0.095404
688,0.053977
689,0.197869
690,0.261431
691,0.214091
692,0.088864
693,-0.06053
694,-0.197995
695,-0.259014
696,-0.220575
697,-0.096927
698,0.052721
699,0.195636
700,0.25932
701,0.215631
702,0.092938
703,-0.057427
704,-0.20055
705,-0.264207
706,-0.220805
707,-0.092481
708,0.056851
709,0.202606
710,0.261124
711,0.215363
712,0.091725
713,-0.057282
714,-0.19029
715,-0.250916
716,-0.21685
717,-0.099657
718,0.052019
719,0.196574
720,0.259435
721,0.210959
722,0.091529
723,-0.055422
724,-0.195604
725,-0.259582
726,-0.218358
727,-0.092504
728,0.060752
729,0.203879
730,0.261411
731,0.210867
732,0.086056
733,-0.06041
734,-0.199475
735,-0.261715
736,-0.21768
737,-0.093614
738,0.055234
739,0.197279
740,0.257616
741,0.209083
742,0.082479
743,-0.061155
744,-0.19229
745,-0.247597
746,-0.208069
747,-0.088566
748,0.058135
749,0.200962
750,0.262864
751,0.215064
752,0.089526
753,-0.057061
754,-0.198605
755,-0.259771
756,-0.214359
757,-0.092228
758,0.056592
759,0.197846
760,0.260912
761,0.211505
762,0.086125
763,-0.059087
764,-0.192021
765,-0.253587
766,-0.216698
767,-0.091139
768,0.060209
769,0.201083
770,0.258965
771,0.214599
772,0.093208
773,-0.051986
774,-0.191917
775,-0.256174
776,-0.217094
777,-0.094722
778,0.057845
779,0.199021
780,0.256856
781,0.211799
782,0.087819
783,-0.06121
784,-0.196925
785,-0.257141
786,-0.221229
787,-0.095394
788,0.059979
789,0.203127
790,0.2591
791,0.212824
792,0.091693
793,-0.055271
794,-0.192948
795,-0.251484
796,-0.216036
797,-0.099602
798,0.05335
799,0.201864
800,0.261742
801,0.211822
802,0.085418
803,-0.057385
804,-0.195905
805,-0.255961
806,-0.213581
807,-0.091146
808,0.058091
809,0.199678
810,0.258361
811,0.211868
812,0.087202
813,-0.061319
814,-0.199337
815,-0.260548
816,-0.218073
817,-0.092008
818,0.058382
819,0.199353
820,0.25839
821,0.215772
822,0.096086
823,-0.053221
824,-0.19813
825,-0.25966
826,-0.219381
827,-0.096049
828,0.056823
829,0.204255
830,0.264113
831,0.212853
832,0.084167
833,-0.064725
834,-0.196219
835,-0.249852
836,-0.21283
837,-0.090814
838,0.060123
839,0.203319
840,0.259926
841,0.211351
842,0.086616
843,-0.064227
844,-0.206234
845,-0.266021
846,-0.222409
847,-0.089324
848,0.067961
849,0.210025
850,0.272393
851,0.220661
852,0.087563
853,-0.066122
854,-0.206557
855,-0.261246
856,-0.209197
857,-0.08136
858,0.069696
859,0.211468
860,0.259618
861,0.203978
862,0.074365
863,-0.076669
864,-0.213295
865,-0.272471
866,-0.22764
867,-0.100709
868,0.040554
869,0.174866
870,0.237322
871,0.204968
872,0.080747
873,-0.070858
874,-0.205885
875,-0.259556
876,-0.203832
877,-0.074037
878,0.077931
879,0.224851
880,0.289045
881,0.238694
882,0.103069
883,-0.0413
884,-0.176711
885,-0.24604
886,-0.209629
887,-0.089948
888,0.059298
889,0.200758
890,0.255055
891,0.201215
892,0.080725
893,-0.060117
894,-0.196397
